,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,AssisterSteamId,AssisterName,AssisterTeam,AssisterSide,AssisterX,AssisterY,AssisterZ,AssisterAreaId,AssisterAreaName,IsWallbang,IsFlashed,IsHeadshot,IsTrade,PlayerTradedName,PlayerTradedTeam,PlayerTradedSteamId,IsFirstKill,Weapon,RoundNum,MatchId,MapName
32,67912,109.1259842519685,7.656119806405896e+16,junior,FURIA,CT,-693.1104736328125,-2182.23974609375,-179.96875,451.0,Triple Box,348.6016845703125,348.4423828125,76561198034202275,s1mple,NAVI,T,-661.0999145507812,-2194.53955078125,-175.9490203857422,451,Triple Box,136.6534423828125,19.2425537109375,,,,,,,,,,False,False,False,False,electronic,NAVI,7.65611980440451e+16,False,AWP,5,furia-vs-natus-vincere-m3-mirage,de_mirage
33,74763,28.748031496062993,7.656119816497056e+16,yuurih,FURIA,CT,-1186.659912109375,-1312.4298095703125,-171.3527069091797,131.0,Deep Jungle,112.2528076171875,0.76904296875,76561198146207066,Boombl4,NAVI,T,-1261.20849609375,-1153.2276611328125,-167.96875,55,Snipers Palace Peek,301.9647216796875,1.4007568359375,,,,,,,,,,False,False,True,False,,,,True,AK-47,6,furia-vs-natus-vincere-m3-mirage,de_mirage
34,75633,35.59842519685039,7.656119804376957e+16,arT,FURIA,CT,7.102663993835449,-1588.5966796875,-170.28875732421875,15.0,Close A Ramp,359.31884765625,10.2117919921875,76561198121220486,Perfecto,NAVI,T,435.886474609375,-1602.83642578125,-229.9127197265625,32,A Ramp,179.0771484375,357.34130859375,,,,,,,,,,False,False,False,False,Boombl4,NAVI,7.656119814620707e+16,False,AUG,6,furia-vs-natus-vincere-m3-mirage,de_mirage
35,76513,42.52755905511811,7.65611980440451e+16,electronic,NAVI,T,81.43047332763672,-1422.1768798828125,-175.96875,15.0,Close A Ramp,247.6702880859375,4.932861328125,76561198043769572,arT,FURIA,CT,-88.08856201171875,-1844.7373046875,-167.96875,4,A Site,321.075439453125,30.234375,,,,,,,,,,False,False,False,False,Perfecto,NAVI,7.656119812122048e+16,False,AK-47,6,furia-vs-natus-vincere-m3-mirage,de_mirage
36,79363,64.96850393700787,7.656119816497056e+16,yuurih,FURIA,CT,-1029.6492919921875,-1317.309326171875,-161.6263427734375,131.0,Deep Jungle,330.853271484375,5.8282470703125,76561198034202275,s1mple,NAVI,T,-915.551025390625,-1372.1712646484375,-167.96875,289,Deep Jungle,165.6353759765625,2.109375,7.656119799637018e+16,VINI,FURIA,CT,-1237.696044921875,-1263.6737060546875,-167.96875,1090.0,BodyShop,True,False,True,False,arT,FURIA,7.656119804376957e+16,False,AK-47,6,furia-vs-natus-vincere-m3-mirage,de_mirage
37,79869,68.95275590551181,7.656119824660747e+16,b1t,NAVI,T,-799.8406982421875,-1442.805908203125,-167.96875,6.0,Bottom Stairs,166.92626953125,0.780029296875,76561197996370184,VINI,FURIA,CT,-1270.8243408203125,-1349.4927978515625,-170.16241455078125,131,Deep Jungle,350.2056884765625,359.7857666015625,,,,,,,,,,False,False,True,False,s1mple,NAVI,7.656119803420227e+16,False,AK-47,6,furia-vs-natus-vincere-m3-mirage,de_mirage
38,79969,69.74015748031496,7.656119824660747e+16,b1t,NAVI,T,-806.6929321289062,-1457.3031005859375,-167.96875,6.0,Bottom Stairs,149.8699951171875,359.3133544921875,76561198164970560,yuurih,FURIA,CT,-1041.005126953125,-1325.3162841796875,-163.31918334960938,131,Deep Jungle,333.4954833984375,5.8831787109375,,,,,,,,,,False,False,True,False,VINI,FURIA,7.656119799637018e+16,False,AK-47,6,furia-vs-natus-vincere-m3-mirage,de_mirage
39,81901,84.95275590551181,7.65611980440451e+16,electronic,NAVI,T,-393.0807189941406,-1891.5364990234375,-174.54685974121094,58.0,Jungle Plant,141.3336181640625,359.9066162109375,76561198058500492,KSCERATO,FURIA,CT,-1227.4691162109375,-1205.271484375,-167.96875,1090,Snipers Palace Peek,320.29541015625,0.6427001953125,,,,,,,,,,False,False,True,False,yuurih,FURIA,7.656119816497056e+16,False,AK-47,6,furia-vs-natus-vincere-m3-mirage,de_mirage
40,95969,12.05511811023622,7.656119804376957e+16,arT,FURIA,CT,-1069.2205810546875,-521.4976196289062,-263.96875,1318.0,Underpass,343.0645751953125,358.48388671875,76561198146207066,Boombl4,NAVI,T,-74.82914733886719,-824.0490112304688,-167.96875,1551,Top Mid Right Side,162.421875,5.29541015625,7.656119799637018e+16,VINI,FURIA,CT,-1301.00048828125,242.87721252441406,-167.92442321777344,26.0,GasStation,False,False,True,False,,,,True,M4A1,7,furia-vs-natus-vincere-m3-mirage,de_mirage
41,96746,18.173228346456693,7.656119804376957e+16,arT,FURIA,CT,-961.0469360351562,-200.0049591064453,-363.96875,297.0,Underpass,93.4112548828125,6.7950439453125,76561198246607476,b1t,NAVI,T,-993.467529296875,324.7539978027344,-367.96875,2444,Underpass,276.405029296875,12.0849609375,,,,,,,,,,False,False,True,False,Boombl4,NAVI,7.656119814620707e+16,False,M4A1,7,furia-vs-natus-vincere-m3-mirage,de_mirage
