,Tick,Second,AttackerSteamId,AttackerName,AttackerTeam,AttackerSide,AttackerX,AttackerY,AttackerZ,AttackerAreaId,AttackerAreaName,AttackerViewX,AttackerViewY,VictimSteamId,VictimName,VictimTeam,VictimSide,VictimX,VictimY,VictimZ,VictimAreaId,VictimAreaName,VictimViewX,VictimViewY,Weapon,HpDamage,HpDamageTaken,ArmorDamage,ArmorDamageTaken,HitGroup,RoundNum,MatchId,MapName
39,24399,82.0,7.656119803420227e+16,s1mple,NAVI,T,-2310.416259765625,-611.8883666992188,-167.96885681152344,22.0,market,114.3951416015625,12.6068115234375,76561198043769572,arT,FURIA,CT,-2330.241455078125,-565.8894653320312,-167.96875,22,market,93.5980224609375,358.9453125,Knife,180,40,0,0,Generic,2,furia-vs-natus-vincere-m3-mirage,de_mirage
40,24826,85.36220472440945,7.656119803420227e+16,s1mple,NAVI,T,-2357.901123046875,-324.9698791503906,-167.96885681152344,101.0,Inside Market Doors,62.8692626953125,0.032958984375,76561198164970560,yuurih,FURIA,CT,-2173.02001953125,17.92603302001953,-167.96875,7,Close Market door,240.787353515625,1.318359375,Galil AR,29,29,0,0,Chest,2,furia-vs-natus-vincere-m3-mirage,de_mirage
41,24849,85.54330708661418,7.656119803420227e+16,s1mple,NAVI,T,-2354.42919921875,-326.7315673828125,-167.96885681152344,101.0,Inside Market Doors,60.0128173828125,2.142333984375,76561198164970560,yuurih,FURIA,CT,-2171.805908203125,17.528995513916016,-167.96875,7,Close Market door,242.655029296875,3.570556640625,Galil AR,36,36,0,0,Stomach,2,furia-vs-natus-vincere-m3-mirage,de_mirage
42,24860,85.62992125984252,7.656119803420227e+16,s1mple,NAVI,T,-2352.30322265625,-327.9458312988281,-167.96885681152344,101.0,Inside Market Doors,59.3316650390625,4.2462158203125,76561198164970560,yuurih,FURIA,CT,-2176.0478515625,19.80672264099121,-167.96875,7,Close Market door,242.105712890625,3.460693359375,Galil AR,36,35,0,0,Stomach,2,furia-vs-natus-vincere-m3-mirage,de_mirage
43,29117,8.32283464566929,7.656119804376957e+16,arT,FURIA,CT,-1183.0740966796875,-595.3054809570312,-167.96875,54.0,Snipers Nest,10.4095458984375,357.7587890625,76561198246607476,b1t,NAVI,T,190.3074188232422,-349.8761291503906,-112.87694549560547,110,Top Mid Left Side,191.8597412109375,0.8074951171875,M4A1,28,28,6,6,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
44,29143,8.527559055118111,7.656119804376957e+16,arT,FURIA,CT,-1174.6453857421875,-591.6307373046875,-167.96875,54.0,Snipers Nest,8.3660888671875,359.01123046875,76561198246607476,b1t,NAVI,T,186.62367248535156,-380.49993896484375,-162.61843872070312,110,Top Mid Left Side,190.8929443359375,356.3470458984375,M4A1,28,28,6,6,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
45,29554,11.763779527559056,7.656119804376957e+16,arT,FURIA,CT,-1184.6822509765625,-543.470947265625,-167.96875,1067.0,Right Side Snipers Nest,356.1602783203125,7.2564697265625,76561198246607476,b1t,NAVI,T,-264.47003173828125,-613.4330444335938,-253.96875,105,Top Mid,184.39453125,353.3807373046875,M4A1,28,28,6,6,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
46,29574,11.921259842519685,7.656119824660747e+16,b1t,NAVI,T,-267.72430419921875,-618.6307373046875,-253.96875,105.0,Top Mid,174.517822265625,355.3143310546875,76561198043769572,arT,FURIA,CT,-1184.6822509765625,-543.470947265625,-167.96875,1067,Right Side Snipers Nest,356.3580322265625,7.3223876953125,AK-47,12,12,1,1,Chest,3,furia-vs-natus-vincere-m3-mirage,de_mirage
47,29593,12.070866141732283,7.656119804376957e+16,arT,FURIA,CT,-1184.6822509765625,-543.470947265625,-167.96875,1067.0,Right Side Snipers Nest,355.3692626953125,8.1134033203125,76561198246607476,b1t,NAVI,T,-266.79833984375,-611.380126953125,-253.96875,105,Top Mid,175.6109619140625,354.5672607421875,M4A1,28,16,6,6,Stomach,3,furia-vs-natus-vincere-m3-mirage,de_mirage
48,29625,12.32283464566929,7.656119824660747e+16,b1t,NAVI,T,-266.79833984375,-611.380126953125,-253.96875,105.0,Top Mid,176.517333984375,358.099365234375,76561198043769572,arT,FURIA,CT,-1184.109130859375,-538.64892578125,-167.96875,1067,Right Side Snipers Nest,354.44091796875,11.942138671875,Molotov,1,1,0,0,Generic,3,furia-vs-natus-vincere-m3-mirage,de_mirage
