,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds
563,Close A Ramp,Refresh,0,3,-3,62,302,-240,T,172
564,B Bombsite Cross to Catwalk,Refresh,1,0,1,100,0,100,CT,172
565,B Bombsite Cross to Catwalk,Refresh,2,2,0,242,276,-34,T,172
566,Deep Palace,Refresh,0,1,-1,91,193,-102,CT,172
567,Deep Palace,Refresh,1,2,-1,191,177,14,T,172
568,Deep Jungle,Refresh,0,1,-1,53,100,-47,CT,172
569,Deep Jungle,Refresh,2,1,1,252,165,87,T,172
570,Semi Elevated CT Van,Refresh,2,1,1,177,100,77,CT,172
571,Semi Elevated CT Van,Refresh,0,1,-1,14,48,-34,T,172
572,Back Left B Site From T's' Perspective,Refresh,3,1,2,327,73,254,CT,172
573,Back Left B Site From T's' Perspective,Refresh,1,0,1,157,0,157,T,172
574,CT Outside Market,Refresh,0,1,-1,0,100,-100,CT,172
575,CT Outside Market,Refresh,0,0,0,0,0,0,T,172
576,Arch,Refresh,4,3,1,387,293,94,CT,172
577,Arch,Refresh,0,0,0,0,0,0,T,172
578,Deep CT,Refresh,0,2,-2,0,200,-200,CT,172
579,Deep CT,Refresh,0,0,0,0,0,0,T,172
580,Top Mid Left Side,Refresh,0,0,0,74,0,74,CT,172
581,Top Mid Left Side,Refresh,2,0,2,174,0,174,T,172
582,T Spawn A Ramp,Refresh,0,1,-1,43,100,-57,CT,172
583,T Spawn A Ramp,Refresh,0,1,-1,0,100,-100,T,172
584,Market Window Peek,Refresh,0,1,-1,0,99,-99,CT,172
585,Market Window Peek,Refresh,0,1,-1,0,9,-9,T,172
586,T Palace Stairs Peek,Refresh,0,0,0,0,0,0,CT,172
587,T Palace Stairs Peek,Refresh,2,1,1,192,123,69,T,172
588,A Site Exposed to Stairs Connector Cat,Refresh,1,2,-1,142,200,-58,CT,172
589,A Site Exposed to Stairs Connector Cat,Refresh,0,1,-1,63,92,-29,T,172
590,Right Side Platform,Refresh,2,1,1,200,100,100,CT,172
591,Right Side Platform,Refresh,0,0,0,0,0,0,T,172
592,Top Mid towards Apps,Refresh,1,0,1,26,0,26,CT,172
