,Location,Player,Kills,Deaths,K/D,Damage Dealt,Damage Taken,Damage Differential,Side,Total Rounds,Damage Diff Per 30,KD Diff Per 30,Kills Per 30,Deaths Per 30,Damage Dealt Per 30,Damage Taken Per 30
879,Arch,huNter-,1,3,-2,91,111,-20,T,176,-3.409090909090909,-0.34090909090909094,0.17045454545454547,0.5113636363636364,15.511363636363637,18.920454545454547
880,Deep Jungle,huNter-,4,2,2,276,187,89,CT,141,18.93617021276596,0.425531914893617,0.851063829787234,0.425531914893617,58.723404255319146,39.787234042553195
881,Deep Jungle,huNter-,5,2,3,527,289,238,T,176,40.56818181818182,0.5113636363636364,0.8522727272727273,0.34090909090909094,89.82954545454545,49.26136363636364
882,Tetris,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
883,Tetris,huNter-,3,7,-4,370,629,-259,T,176,-44.14772727272727,-0.6818181818181819,0.5113636363636364,1.1931818181818181,63.06818181818181,107.2159090909091
884,market,huNter-,2,2,0,270,286,-16,CT,141,-3.404255319148936,0.0,0.425531914893617,0.425531914893617,57.4468085106383,60.851063829787236
885,market,huNter-,0,1,-1,0,100,-100,T,176,-17.045454545454547,-0.17045454545454547,0.0,0.17045454545454547,0.0,17.045454545454547
886,Catwalk T Aparments Peek,huNter-,2,3,-1,209,300,-91,CT,141,-19.361702127659576,-0.2127659574468085,0.425531914893617,0.6382978723404256,44.46808510638298,63.829787234042556
887,Catwalk T Aparments Peek,huNter-,2,1,1,264,107,157,T,176,26.761363636363637,0.17045454545454547,0.34090909090909094,0.17045454545454547,45.0,18.238636363636363
888,Snipers Nest,huNter-,2,2,0,368,228,140,CT,141,29.78723404255319,0.0,0.425531914893617,0.425531914893617,78.29787234042554,48.51063829787234
889,Snipers Nest,huNter-,3,2,1,300,320,-20,T,176,-3.409090909090909,0.17045454545454547,0.5113636363636364,0.34090909090909094,51.13636363636364,54.54545454545455
890,Underpass,huNter-,1,0,1,100,36,64,CT,141,13.617021276595745,0.2127659574468085,0.2127659574468085,0.0,21.27659574468085,7.659574468085106
891,Underpass,huNter-,6,4,2,684,621,63,T,176,10.738636363636363,0.34090909090909094,1.0227272727272727,0.6818181818181819,116.5909090909091,105.85227272727272
892,A Site,huNter-,2,1,1,220,74,146,CT,141,31.06382978723404,0.2127659574468085,0.425531914893617,0.2127659574468085,46.808510638297875,15.74468085106383
893,A Site,huNter-,2,2,0,125,218,-93,T,176,-15.852272727272728,0.0,0.34090909090909094,0.34090909090909094,21.30681818181818,37.15909090909091
894,CT Deep Catwalk Mid peek,huNter-,6,5,1,635,536,99,CT,141,21.06382978723404,0.2127659574468085,1.2765957446808511,1.0638297872340425,135.1063829787234,114.04255319148936
895,CT Deep Catwalk Mid peek,huNter-,1,0,1,109,25,84,T,176,14.318181818181818,0.17045454545454547,0.17045454545454547,0.0,18.579545454545453,4.261363636363637
896,Bottom Connector,huNter-,0,2,-2,172,148,24,CT,141,5.1063829787234045,-0.425531914893617,0.0,0.425531914893617,36.59574468085106,31.48936170212766
897,Bottom Connector,huNter-,3,3,0,305,437,-132,T,176,-22.5,0.0,0.5113636363636364,0.5113636363636364,51.98863636363636,74.48863636363636
898,Deep CT,huNter-,3,3,0,345,305,40,CT,141,8.51063829787234,0.0,0.6382978723404256,0.6382978723404256,73.40425531914893,64.8936170212766
899,Deep CT,huNter-,2,3,-1,199,256,-57,T,176,-9.71590909090909,-0.17045454545454547,0.34090909090909094,0.5113636363636364,33.92045454545455,43.63636363636364
900,B Site Default Plant,huNter-,1,1,0,142,52,90,CT,141,19.148936170212767,0.0,0.2127659574468085,0.2127659574468085,30.212765957446805,11.063829787234042
901,B Site Default Plant,huNter-,1,4,-3,100,342,-242,T,176,-41.25,-0.5113636363636364,0.17045454545454547,0.6818181818181819,17.045454545454547,58.29545454545455
902,Left Side Platform,huNter-,2,1,1,310,171,139,CT,141,29.574468085106382,0.2127659574468085,0.425531914893617,0.2127659574468085,65.95744680851064,36.38297872340426
903,Left Side Platform,huNter-,3,0,3,300,173,127,T,176,21.647727272727273,0.5113636363636364,0.5113636363636364,0.0,51.13636363636364,29.488636363636363
904,CT Catwalk,huNter-,4,3,1,524,253,271,CT,141,57.659574468085104,0.2127659574468085,0.851063829787234,0.6382978723404256,111.48936170212767,53.829787234042556
905,CT Catwalk,huNter-,3,2,1,357,248,109,T,176,18.579545454545453,0.17045454545454547,0.5113636363636364,0.34090909090909094,60.85227272727273,42.27272727272727
906,CT Outside Market,huNter-,3,2,1,300,123,177,CT,141,37.659574468085104,0.2127659574468085,0.6382978723404256,0.425531914893617,63.829787234042556,26.170212765957448
907,CT Outside Market,huNter-,2,1,1,205,168,37,T,176,6.306818181818182,0.17045454545454547,0.34090909090909094,0.17045454545454547,34.94318181818182,28.636363636363637
908,B Bombsite Cross to Catwalk,huNter-,3,2,1,262,215,47,CT,141,10.0,0.2127659574468085,0.6382978723404256,0.425531914893617,55.74468085106383,45.74468085106383
909,B Bombsite Cross to Catwalk,huNter-,1,2,-1,108,192,-84,T,176,-14.318181818181818,-0.17045454545454547,0.17045454545454547,0.34090909090909094,18.40909090909091,32.72727272727273
910,Underneath B apps plat,huNter-,4,3,1,322,300,22,CT,141,4.680851063829787,0.2127659574468085,0.851063829787234,0.6382978723404256,68.51063829787233,63.829787234042556
911,Underneath B apps plat,huNter-,3,1,2,325,274,51,T,176,8.693181818181818,0.34090909090909094,0.5113636363636364,0.17045454545454547,55.39772727272727,46.70454545454545
912,Back Right B Site from T's Perspective,huNter-,0,3,-3,181,276,-95,CT,141,-20.21276595744681,-0.6382978723404256,0.0,0.6382978723404256,38.51063829787234,58.723404255319146
913,Back Right B Site from T's Perspective,huNter-,0,0,0,0,0,0,T,176,0.0,0.0,0.0,0.0,0.0,0.0
914,Top Mid,huNter-,2,0,2,181,0,181,CT,141,38.51063829787234,0.425531914893617,0.425531914893617,0.0,38.51063829787234,0.0
915,Top Mid,huNter-,2,4,-2,219,380,-161,T,176,-27.44318181818182,-0.34090909090909094,0.34090909090909094,0.6818181818181819,37.32954545454545,64.77272727272728
916,Top Connector,huNter-,0,1,-1,0,88,-88,CT,141,-18.72340425531915,-0.2127659574468085,0.0,0.2127659574468085,0.0,18.72340425531915
917,Top Connector,huNter-,3,2,1,343,381,-38,T,176,-6.4772727272727275,0.17045454545454547,0.5113636363636364,0.34090909090909094,58.46590909090909,64.94318181818181
918,A Ramp,huNter-,0,0,0,0,0,0,CT,141,0.0,0.0,0.0,0.0,0.0,0.0
919,A Ramp,huNter-,2,4,-2,211,410,-199,T,176,-33.92045454545455,-0.34090909090909094,0.34090909090909094,0.6818181818181819,35.96590909090909,69.88636363636364
920,Back Left B Site From T's' Perspective,huNter-,2,1,1,289,100,189,CT,141,40.21276595744681,0.2127659574468085,0.425531914893617,0.2127659574468085,61.48936170212767,21.27659574468085
921,Back Left B Site From T's' Perspective,huNter-,0,0,0,0,0,0,T,176,0.0,0.0,0.0,0.0,0.0,0.0
922,Deep Palace,huNter-,1,1,0,137,149,-12,CT,141,-2.5531914893617023,0.0,0.2127659574468085,0.2127659574468085,29.148936170212764,31.702127659574472
923,Deep Palace,huNter-,1,1,0,100,155,-55,T,176,-9.375,0.0,0.17045454545454547,0.17045454545454547,17.045454545454547,26.420454545454547
924,Connector behind box,huNter-,1,0,1,135,0,135,CT,141,28.72340425531915,0.2127659574468085,0.2127659574468085,0.0,28.72340425531915,0.0
925,Connector behind box,huNter-,4,4,0,362,247,115,T,176,19.602272727272727,0.0,0.6818181818181819,0.6818181818181819,61.70454545454545,42.10227272727273
926,Top STairs,huNter-,0,2,-2,90,200,-110,CT,141,-23.404255319148938,-0.425531914893617,0.0,0.425531914893617,19.148936170212767,42.5531914893617
927,Top STairs,huNter-,0,1,-1,0,93,-93,T,176,-15.852272727272728,-0.17045454545454547,0.0,0.17045454545454547,0.0,15.852272727272728
928,Left Side corner deep jungle,huNter-,1,3,-2,157,323,-166,CT,141,-35.31914893617021,-0.425531914893617,0.2127659574468085,0.6382978723404256,33.40425531914894,68.72340425531914
929,Left Side corner deep jungle,huNter-,0,1,-1,73,100,-27,T,176,-4.6022727272727275,-0.17045454545454547,0.0,0.17045454545454547,12.443181818181818,17.045454545454547
930,Triple Box,huNter-,0,1,-1,0,99,-99,CT,141,-21.06382978723404,-0.2127659574468085,0.0,0.2127659574468085,0.0,21.06382978723404
931,Triple Box,huNter-,1,1,0,195,226,-31,T,176,-5.284090909090909,0.0,0.17045454545454547,0.17045454545454547,33.23863636363636,38.52272727272727
932,Right Side Snipers Nest,huNter-,0,3,-3,114,200,-86,CT,141,-18.29787234042553,-0.6382978723404256,0.0,0.6382978723404256,24.25531914893617,42.5531914893617
933,Right Side Snipers Nest,huNter-,1,0,1,100,0,100,T,176,17.045454545454547,0.17045454545454547,0.17045454545454547,0.0,17.045454545454547,0.0
